Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
4/25/18 0:00,4/26/18 0:00,333.7329817,3.555761112,2,127,7646
4/26/18 0:00,4/27/18 0:00,141.936,1.02327484,1,113,2191
4/27/18 0:00,4/28/18 0:00,287.555,3.290989526,3,143,7115.614043
4/28/18 0:00,4/29/18 0:00,133.156,3.823251414,6,122,9095
4/29/18 0:00,4/30/18 0:00,490.698,4.649963507,4,124,9998
4/30/18 0:00,5/1/18 0:00,367.062,4.506743362,3,122,9772
5/1/18 0:00,5/2/18 0:00,200.2445148,2.500229079,3,134,5557
5/2/18 0:00,5/3/18 0:00,195.3544852,2.567888991,2,102,5545
5/3/18 0:00,5/4/18 0:00,192.759,3.117275269,0,114,6757
5/4/18 0:00,5/5/18 0:00,351.815,3.922999755,3,98,8713.911642
5/5/18 0:00,5/6/18 0:00,383.514,3.722929,3,156,7953.29994
5/6/18 0:00,5/7/18 0:00,49.285,0.60142015,1,133,1286.980471
5/7/18 0:00,5/8/18 0:00,67.753,0.645375034,1,109,1378
5/8/18 0:00,5/9/18 0:00,22.047,0.275622362,0,171,616
5/9/18 0:00,5/10/18 0:00,67.18532695,0.842751679,0,162,1557.448039
5/10/18 0:00,5/11/18 0:00,366.6386731,4.081160798,2,186,7960.551961
5/11/18 0:00,5/12/18 0:00,169.006,2.149600585,0,155,4141.977029
5/12/18 0:00,5/13/18 0:00,84.21904229,0.179378991,0,93,379
5/13/18 0:00,5/14/18 0:00,13.78395771,0.167101567,0,65,378
5/14/18 0:00,5/15/18 0:00,170.2281659,1.990740044,1,154,3973
5/15/18 0:00,5/16/18 0:00,286.2568341,3.434920963,0,158,6442
5/16/18 0:00,5/17/18 0:00,126.559864,0.996365968,1,158,1937.752815
5/17/18 0:00,5/18/18 0:00,23.99013597,0.183458735,0,96,417
5/18/18 0:00,5/19/18 0:00,439.0846512,2.898341828,3,136,6246.113449
5/19/18 0:00,5/20/18 0:00,4.204348849,0.329253606,3,0,824.8865514
5/20/18 0:00,5/21/18 0:00,70.965,0.520918742,1,145,1124.801874
5/21/18 0:00,5/22/18 0:00,92.77082164,1.294896017,0,170,2440.971338
5/22/18 0:00,5/23/18 0:00,527.1601784,4.967552201,1,198,10025.02866
5/23/18 0:00,5/24/18 0:00,270.608,3.193132357,0,170,5869
5/24/18 0:00,5/25/18 0:00,243.025,2.789427672,0,150,5264
5/25/18 0:00,5/26/18 0:00,87.47993032,0.754595986,1,95,1706
5/26/18 0:00,5/27/18 0:00,273.8490697,3.825487801,1,195,7846.353174
5/27/18 0:00,5/28/18 0:00,363.3954979,4.772756786,1,192,9654.663671
5/28/18 0:00,5/29/18 0:00,7.766502085,0.084566481,0,188,225.3363285
5/29/18 0:00,5/30/18 0:00,0.097,0.851623687,1,0,2358
5/30/18 0:00,5/31/18 0:00,77.73976488,0.685596535,0,104,1474.948583
5/31/18 0:00,6/1/18 0:00,183.9192675,2.063699,0,189,4705.051417
6/1/18 0:00,6/2/18 0:00,5.786967647,0.013312225,0,125,30
6/2/18 0:00,6/3/18 0:00,0,0.102518516,0,0,295
6/3/18 0:00,6/4/18 0:00,0,0.004991094,0,0,15
6/4/18 0:00,6/5/18 0:00,97.63054013,0.567177374,1,93,1278
6/5/18 0:00,6/6/18 0:00,467.6037383,4.9331674,1,177,9441.600825
6/6/18 0:00,6/7/18 0:00,34.30472153,0.277535255,0,109,651.3991753
6/7/18 0:00,6/8/18 0:00,0.089,0.760639713,1,0,2165
6/8/18 0:00,6/9/18 0:00,278.831,3.307159406,0,180,5744
6/9/18 0:00,6/10/18 0:00,64.066,0.506845168,0,139,1179
6/10/18 0:00,6/11/18 0:00,37.296,0.293709317,1,87,671
6/11/18 0:00,6/12/18 0:00,0,0.01824831,0,0,49
6/12/18 0:00,6/13/18 0:00,0,0.059124174,0,0,169
6/13/18 0:00,6/14/18 0:00,46.419,0.548297253,1,107,1281
6/14/18 0:00,6/15/18 0:00,0.05,0.029892725,0,0,83
6/15/18 0:00,6/16/18 0:00,1.698,0.640286498,1,0,1765
6/16/18 0:00,6/17/18 0:00,0,0.083600671,0,0,254
6/17/18 0:00,6/18/18 0:00,81.243,0.755027007,1,92,1745
6/18/18 0:00,6/19/18 0:00,136.395,1.877898015,0,148,3724
6/19/18 0:00,6/20/18 0:00,14.151,0.203314952,0,89,507
6/20/18 0:00,6/21/18 0:00,256.885,2.176436574,1,107,4996.219563
6/21/18 0:00,6/22/18 0:00,162.804,1.079667005,2,120,2466.236921
6/22/18 0:00,6/23/18 0:00,0.038,0.140051797,0,0,395
6/23/18 0:00,6/24/18 0:00,0,0.064266512,0,0,188
6/24/18 0:00,6/25/18 0:00,0,0.030904396,0,0,87
6/25/18 0:00,6/26/18 0:00,324.043,2.930413045,1,116,6714.427807
6/26/18 0:00,6/27/18 0:00,642.883,8.469022308,1,161,18339
6/27/18 0:00,6/28/18 0:00,297.04,2.266502821,4,100,5109.371569
6/28/18 0:00,6/29/18 0:00,60.903,0.476070887,0,94,1109
6/29/18 0:00,6/30/18 0:00,377.264,4.42973136,10,166,9832.638453
6/30/18 0:00,7/1/18 0:00,446.853,6.736508552,16,163,15159
7/1/18 0:00,7/2/18 0:00,331.946,4.536499741,7,148,10068.48419
7/2/18 0:00,7/3/18 0:00,394.453,5.106436752,15,172,11749
7/3/18 0:00,7/4/18 0:00,352.325,5.310368507,14,115,11939.35214
